Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,metric,cr,lambda
-0.42211845050831875,0.1735209389202506,-0.24487604183293682,-0.003721469755131339,1.0,0.0,0.05413703812638049,m_a=0,0.1,1.7
-0.344977915715699,-0.06584119969752049,-0.344977915715699,-0.06584119969752053,1.0,1.0,-0.1884758602978942,m_a=1,0.1,1.7
-0.6861252011990584,3.60775935016907,0.7683104663206406,2.1533236826493702,1.0,1.0,1.6625891946992861,m_u,0.1,1.7
0.08604538363299863,0.42164788964376176,0.1638173242465655,0.36973401164670705,1.0,1.0,0.2865448504983389,m_y=1,0.09090909090909091,1.7
0.3280603598873422,0.6257774087073322,0.3346294417502097,0.622015739622323,0.0,0.0,0.24802110817941947,m_y=0,0.09090909090909091,1.7
-0.4165658649402902,0.16429671394205175,-0.24471360324170063,-0.007555547756537681,1.0,0.0,0.05413703812638049,m_a=0,0.09090909090909091,1.7
-0.347415259831972,-0.07069621693902559,-0.34741525983197213,-0.07069621693902564,1.0,1.0,-0.1884758602978942,m_a=1,0.09090909090909091,1.7
-0.6875706388985046,3.912716488974651,0.8636544144562451,2.361491435619901,1.0,1.0,1.8384301732925585,m_u,0.09090909090909091,1.7
0.09054288246954054,0.42107983525097364,0.16638039595438275,0.3703779689941643,1.0,1.0,0.2865448504983389,m_y=1,0.08333333333333333,1.7
0.3320544874979713,0.6250589437029234,0.33842138696494184,0.6213998435464068,0.0,0.0,0.24802110817941947,m_y=0,0.08333333333333333,1.7
-0.41456706128053417,0.15949783233131612,-0.24530543202999708,-0.009763796919220927,1.0,0.0,0.05413703812638049,m_a=0,0.08333333333333333,1.7
-0.34471736462859925,-0.06860654505312103,-0.34471736462859925,-0.06860654505312105,1.0,1.0,-0.1884758602978942,m_a=1,0.08333333333333333,1.7
-0.6852720678410228,4.267288754512,0.9814632415985161,2.6005534450724594,1.0,1.0,2.014271151885831,m_u,0.08333333333333333,1.7
0.08152282939336611,0.4189935066157352,0.1604526442633881,0.3660170784572737,1.0,1.0,0.2865448504983389,m_y=1,0.07692307692307693,1.7
0.3199544971762559,0.6173713569440399,0.32650565455469976,0.6135792912734288,0.0,0.0,0.24802110817941947,m_y=0,0.07692307692307693,1.7
-0.42301444991254405,0.18473341280395514,-0.24051032500937025,0.002229287900781366,1.0,0.2,0.05413703812638049,m_a=0,0.07692307692307693,1.7
-0.3487515476952404,-0.07146850902362689,-0.3487515476952404,-0.07146850902362692,1.0,1.0,-0.1884758602978942,m_a=1,0.07692307692307693,1.7
-0.8824335492393587,4.762398009164386,1.0644631552578008,2.8155013046672264,1.0,1.0,2.1901121304791027,m_u,0.07692307692307693,1.7
0.08890929275887824,0.42082639652577675,0.1656200552130925,0.3695212106226945,1.0,1.0,0.2865448504983389,m_y=1,0.07142857142857142,1.7
0.33614333764513826,0.6306224364122059,0.34267868429918774,0.6268818809811141,0.0,0.0,0.24802110817941947,m_y=0,0.07142857142857142,1.7
-0.40983351339734736,0.1553096483880787,-0.24298430251582676,-0.011539562493441968,1.0,0.0,0.05413703812638049,m_a=0,0.07142857142857142,1.7
-0.3502235845958544,-0.07939393903001171,-0.3502235845958544,-0.07939393903001173,1.0,1.0,-0.1884758602978942,m_a=1,0.07142857142857142,1.7
-0.7545224350883176,4.911545848003177,1.1622875614812422,2.994735851433618,1.0,1.0,2.365953109072375,m_u,0.07142857142857142,1.7
0.08854296332901095,0.4138578025986342,0.1634361533320334,0.36306482217355285,1.0,1.0,0.2865448504983389,m_y=1,0.06666666666666667,1.7
0.3231529189742268,0.6110107477767557,0.32934109445847887,0.6073736313911207,0.0,0.0,0.24802110817941947,m_y=0,0.06666666666666667,1.7
-0.4136597575902365,0.17457318681636091,-0.23767262402120232,-0.0014139467526732758,1.0,0.0,0.05413703812638049,m_a=0,0.06666666666666667,1.7
-0.3422676252136826,-0.07090742325730033,-0.34226762521368254,-0.07090742325730034,1.0,1.0,-0.1884758602978942,m_a=1,0.06666666666666667,1.7
-0.8510311017992821,5.4398144696006785,1.3151713832629892,3.273611984538408,1.0,1.0,2.5417940876656475,m_u,0.06666666666666667,1.7
0.0880950571124637,0.41995414039198053,0.16468986745560338,0.3685909256592541,1.0,1.0,0.2865448504983389,m_y=1,0.0625,1.7
0.3275353682596903,0.621712057129213,0.3339383636735044,0.6180130353255314,0.0,0.0,0.24802110817941947,m_y=0,0.0625,1.7
-0.4163636719605116,0.16615968063371997,-0.24350888636682436,-0.006695104959967324,1.0,0.0,0.05413703812638049,m_a=0,0.0625,1.7
-0.34455229946319593,-0.06936214960715421,-0.3445522994631959,-0.06936214960715421,1.0,1.0,-0.1884758602978942,m_a=1,0.0625,1.7
-0.8650342963482986,5.784157527490089,1.40445565109991,3.514667580041882,1.0,1.0,2.7176350662589197,m_u,0.0625,1.7
