,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,metric,id_method,est_method,ls
1,-0.1662515578037962,0.16214664813713983,-0.07838579803300826,0.08756014745535506,0.0,0.0,0.19150073499933185,m_y=0,MSM,plugin,0.0
2,-0.2561684950963249,0.24483630522728833,-0.08221473702216839,0.07088254715313189,0.0,0.0,-0.27816830688893357,m_a=0,MSM,plugin,0.0
3,-0.12185949844291218,0.0297417306323438,-0.12185949844291213,0.02974173063234381,0.0,0.0,-0.28068002184911456,m_a=1,MSM,plugin,0.0
4,-0.18951553130256452,0.13761553130256443,-0.10206897711868604,0.050168977118685995,0.0,0.0,-0.28180000000000005,m_u,MSM,plugin,0.0
0,-0.21911631700624828,0.10485021273146093,-0.14156951617209843,0.02917040725036759,0.0,0.0,-0.5517105780574125,m_y=1,MSM,plugin,0.0
1,-0.16179071653814842,0.1671454658082067,-0.07225160970203057,0.09173818289495747,0.0,0.0,0.19183317688078308,m_y=0,MSM,plugin,0.0
2,-0.2660295569627764,0.24147843901933555,-0.08797686926602469,0.06342575132258385,0.0,0.0,-0.2807122849139656,m_a=0,MSM,plugin,0.0
3,-0.12446198167668535,0.026667662387864645,-0.12446198167668536,0.026667662387864628,0.0,0.0,-0.2832983200327267,m_a=1,MSM,plugin,0.0
4,-0.19567542616309047,0.13447542616309047,-0.10619504796108789,0.0449950479610879,0.0,0.0,-0.28335,m_u,MSM,plugin,0.0
0,-0.21106264586422557,0.11269530712896499,-0.13293009185083277,0.03813171703132036,0.0,0.0,-0.5419005225469324,m_y=1,MSM,plugin,0.0
1,-0.15642778457867895,0.17450935448154753,-0.0670037953899851,0.10046844598021638,0.0,0.0,0.19045371806108,m_y=0,MSM,plugin,0.0
2,-0.2761888130202843,0.23536023335611037,-0.09787011658203379,0.05704153691785983,0.2,0.0,-0.27910685805422664,m_a=0,MSM,plugin,0.0
3,-0.11776757535695763,0.03807887553278215,-0.11776757535695756,0.03807887553278218,0.0,0.0,-0.2822022022316934,m_a=1,MSM,plugin,0.0
4,-0.19744142762742056,0.13724142762742053,-0.10777387112344632,0.047573871123446285,0.0,0.0,-0.28125,m_u,MSM,plugin,0.0
0,-0.21843482656452534,0.10582518916002197,-0.14107268165717893,0.030701417424880813,0.0,0.0,-0.5495931809376211,m_y=1,MSM,plugin,0.0
1,-0.1612957711820852,0.16943910256173003,-0.0720841641060453,0.09472198581943589,0.0,0.0,0.19578110257447093,m_y=0,MSM,plugin,0.0
