,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,metric,id_method,est_method,beta_zy
2,-0.3236251138375476,0.3529691879433351,-0.16670828473172836,0.19605235883751582,1.0,1.0,-0.04604753162337477,m_a=0,IV,plugin,0.0
3,-0.12777299725075364,0.007355840491994892,-0.12777299725075353,0.007355840491994915,1.0,1.0,-0.041422878762027826,m_a=1,IV,plugin,0.0
4,-0.1809793698216928,0.1110793698216928,-0.10247388022005141,0.03257388022005141,1.0,1.0,-0.040300000000000016,m_u,IV,plugin,0.0
0,-0.3966987803565689,-0.10676236205749871,-0.33731015186196267,-0.1672844616971701,1.0,1.0,-0.23677607146441834,m_y=1,IV,plugin,0.0
1,-0.3263539221534269,-0.03621580637967912,-0.25681458631763704,-0.10481173990813368,1.0,1.0,-0.16837700508119963,m_y=0,IV,plugin,0.0
2,-0.30168899312462955,0.2370698920006276,-0.1705120664104806,0.1058929652864786,1.0,1.0,-0.03422277081012992,m_a=0,IV,plugin,0.0
3,-0.09478176230666982,0.014089041498865551,-0.09478176230666982,0.014089041498865551,1.0,1.0,-0.03406055340583791,m_a=1,IV,plugin,0.0
4,-0.15465137036038915,0.0852513703603892,-0.08948923201513562,0.020089232015135672,1.0,1.0,-0.03344999999999998,m_u,IV,plugin,0.0
0,-0.4421553013748246,-0.108968504229951,-0.3756061490301791,-0.1770959006340164,1.0,1.0,-0.23854312587552534,m_y=1,IV,plugin,0.0
1,-0.35866756878064543,-0.02587336691321431,-0.278434194429212,-0.10453338959918683,1.0,1.0,-0.1589046572056766,m_y=0,IV,plugin,0.0
2,-0.30415893360372037,0.2891198903399011,-0.15868074509221947,0.14364170182840014,1.0,1.0,-0.03756631994309961,m_a=0,IV,plugin,0.0
3,-0.11721037105105644,0.0015971872795226606,-0.11721037105105644,0.001597187279522623,1.0,1.0,-0.04043402921504197,m_a=1,IV,plugin,0.0
4,-0.17161684726184595,0.09231684726184589,-0.09983790905027137,0.02053790905027134,1.0,1.0,-0.03970000000000001,m_u,IV,plugin,0.0
0,-0.4016065152801535,-0.12475561395830373,-0.346505419945336,-0.1810192173516219,1.0,1.0,-0.25391599321560404,m_y=1,IV,plugin,0.0
1,-0.32747223441742557,-0.04939539092898828,-0.2621403360419727,-0.11393255962700517,1.0,1.0,-0.18131702916708428,m_y=0,IV,plugin,0.0
2,-0.3035174302126278,0.21999895283942061,-0.1811803861501159,0.09766190877690883,1.0,1.0,-0.03472876706997824,m_a=0,IV,plugin,0.0
3,-0.09204475978524039,0.01482402852842495,-0.09204475978524043,0.014824028528424876,1.0,1.0,-0.03709011244491334,m_a=1,IV,plugin,0.0
4,-0.15225705508320952,0.07705705508320959,-0.09066035339773484,0.015460353397734846,1.0,1.0,-0.036799999999999986,m_u,IV,plugin,0.0
0,-0.3661586425910847,-0.12579283263583813,-0.31679865686865194,-0.1760230674262518,1.0,1.0,-0.2517941979177196,m_y=1,IV,plugin,0.0
1,-0.2924046700291637,-0.050649586752421524,-0.23408839618589647,-0.10833760762801159,1.0,1.0,-0.16750766795290392,m_y=0,IV,plugin,0.0
2,-0.28889816114670813,0.17635455412544196,-0.177201649735798,0.06465804271453192,1.0,1.0,-0.047901157863640575,m_a=0,IV,plugin,0.0
3,-0.08162453012202255,0.011436452876597291,-0.08162453012202255,0.011436452876597263,1.0,1.0,-0.039737793629596174,m_a=1,IV,plugin,0.0
4,-0.140404521017829,0.06430452101782902,-0.08470147077720812,0.00860147077720812,1.0,1.0,-0.039900000000000005,m_u,IV,plugin,0.0
0,-0.41187905434036204,-0.10359775799114872,-0.3510926340642141,-0.16593602964848167,1.0,1.0,-0.24136907706004554,m_y=1,IV,plugin,0.05
1,-0.32957319867025264,-0.017636197352521265,-0.255476260898162,-0.09057602947515667,1.0,1.0,-0.16934586998281265,m_y=0,IV,plugin,0.05
2,-0.3464057166794901,0.2404238698403327,-0.20667299617628693,0.10069114933712948,1.0,1.0,-0.034175737727420386,m_a=0,IV,plugin,0.05
3,-0.10478044077998025,0.0161194131707054,-0.10478044077998021,0.01611941317070546,1.0,1.0,-0.03662939667349824,m_a=1,IV,plugin,0.05
4,-0.17406167191394215,0.0864616719139421,-0.10460053655179982,0.01700053655179981,1.0,1.0,-0.038250000000000006,m_u,IV,plugin,0.05
0,-0.4233792403377315,-0.15391936994455635,-0.3680982880772709,-0.2103440898916938,1.0,1.0,-0.25331891041400334,m_y=1,IV,plugin,0.05
1,-0.3479463396104813,-0.07322078686161008,-0.2815263375339607,-0.1390006760594215,1.0,1.0,-0.19753839894212186,m_y=0,IV,plugin,0.05
2,-0.27489733514230313,0.2383124815754709,-0.15257823977321544,0.11599338620638336,1.0,1.0,-0.023506250401317708,m_a=0,IV,plugin,0.05
3,-0.09940405443391466,-0.004346004111081691,-0.09940405443391459,-0.0043460041110816375,1.0,1.0,-0.029745960598573762,m_a=1,IV,plugin,0.05
4,-0.14920443228740693,0.06840443228740686,-0.08752502844754444,0.006725028447544421,1.0,1.0,-0.03170000000000002,m_u,IV,plugin,0.05
0,-0.4314530545681718,-0.10529431073748977,-0.36369649654882663,-0.17465694902220483,1.0,1.0,-0.25232996232401345,m_y=1,IV,plugin,0.05
1,-0.3578030763404648,-0.02855853222204794,-0.2770932204087544,-0.1081813661462118,1.0,1.0,-0.18408311478716965,m_y=0,IV,plugin,0.05
2,-0.35126158577667843,0.2707575666017318,-0.2007540034035496,0.12024998422860293,1.0,1.0,-0.03000406496284941,m_a=0,IV,plugin,0.05
3,-0.0990575018543238,0.019766415247177017,-0.0990575018543237,0.0197664152471771,1.0,1.0,-0.035980046902590324,m_a=1,IV,plugin,0.05
4,-0.17285515786450997,0.09675515786450993,-0.0969391333155038,0.020839133315503796,1.0,1.0,-0.036000000000000004,m_u,IV,plugin,0.05
0,-0.39932926399955243,-0.09272096273564037,-0.33775690898240435,-0.15555214160375988,1.0,1.0,-0.23508494666139862,m_y=1,IV,plugin,0.05
1,-0.3234836403828486,-0.013409258269694435,-0.249712729289414,-0.08596032834240526,1.0,1.0,-0.16929931146213043,m_y=0,IV,plugin,0.05
2,-0.35200418014442786,0.23624849999299197,-0.211875372884673,0.09611969273323709,1.0,1.0,-0.030640166641603517,m_a=0,IV,plugin,0.05
3,-0.0969997612816814,0.023925332999490602,-0.09699976128168158,0.02392533299949048,1.0,1.0,-0.03354189087716697,m_a=1,IV,plugin,0.05
4,-0.17105404700740046,0.08975404700740056,-0.1018864677439855,0.02058646774398553,1.0,1.0,-0.03539999999999999,m_u,IV,plugin,0.05
0,-0.41437154082048877,-0.09254693060512806,-0.34910157427553384,-0.15935448706701227,1.0,1.0,-0.249188710787688,m_y=1,IV,plugin,0.05
1,-0.33510244239097303,-0.004470127854764194,-0.2550894380893075,-0.08322403905677779,1.0,1.0,-0.1667175261926559,m_y=0,IV,plugin,0.05
2,-0.3814418402875712,0.24670196151457335,-0.23079419975609589,0.09605432098309805,1.0,1.0,-0.043163894077933807,m_a=0,IV,plugin,0.05
