g,s,metric,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,selection_rate,size
_Population,9,m_a=1,-0.31508432594791086,-0.18697296140738306,-0.31508432594791086,-0.18697296140738306,1.0,1.0,-0.23577463432183648,0.18705402650356778,1.0
_Population,9,m_u,-0.17911933520112994,0.04048528831020226,-0.12492566660789388,-0.01370838028303377,1.0,0.0,0.028542303771661573,0.18705402650356778,1.0
_Population,9,m_y=0,0.421164923559871,0.5586019473164543,0.42308309834479196,0.5571359383837451,0.0,0.0,0.2826887338265718,0.18705402650356778,1.0
_Population,9,m_y=1,0.144805828894117,0.2970530725610842,0.1765076268766515,0.27084286449509776,1.0,1.0,0.22401189034459978,0.18705402650356778,1.0
_Population,10,m_a=0,-0.3083461663871133,0.04489990273915462,-0.19891613834852212,-0.06453012529943664,0.5,0.0,0.0014859392623690904,0.1946992864424057,1.0
_Population,10,m_a=1,-0.19217527139244578,-0.03586445566991753,-0.19217527139244586,-0.035864455669917646,0.5,0.5,-0.22883432088928268,0.1946992864424057,1.0
_Population,10,m_u,-0.22536210214602442,0.08876679123878695,-0.13732936355981812,0.0007340526525805996,1.0,0.0,0.023445463812436285,0.1946992864424057,1.0
_Population,10,m_y=0,0.367425022695266,0.5012955434845617,0.3696897801352721,0.4995074562254114,0.0,0.0,0.2960534089566348,0.1946992864424057,1.0
_Population,10,m_y=1,0.15989047535916512,0.3099733417072412,0.18991405339347084,0.28489155278735784,1.0,1.0,0.21534359007113713,0.1946992864424057,1.0
_Population,11,m_a=0,-0.25929924687738254,0.021980795276961757,-0.1760035564119603,-0.06131489518846041,1.0,0.0,0.010897278862836507,0.18705402650356778,1.0
_Population,11,m_a=1,-0.3016143915242817,-0.16994337969004508,-0.3016143915242816,-0.16994337969004503,1.0,1.0,-0.23654380294245125,0.18705402650356778,1.0
_Population,11,m_u,-0.1898122145517061,0.06544931954660915,-0.12208972602135304,-0.0022731689837438007,1.0,0.0,0.039245667686034644,0.18705402650356778,1.0
_Population,11,m_y=0,0.39600811752160736,0.535791071051593,0.3976625206088351,0.5345138357308954,0.0,0.0,0.30910674981658104,0.18705402650356778,1.0
_Population,11,m_y=1,0.15872640387422612,0.3153912748267025,0.1917905155221814,0.28797685372212267,1.0,1.0,0.24331335761753686,0.18705402650356778,1.0
_Population,12,m_a=0,-0.2806333662378242,0.027122030955310406,-0.1845980486715793,-0.06891328661093449,1.0,0.0,-0.002549369885866487,0.19520897043832824,1.0
_Population,12,m_a=1,-0.2749941297395997,-0.13586695779425834,-0.2749941297395997,-0.13586695779425828,1.0,1.0,-0.2431213059116426,0.19520897043832824,1.0
