,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,metric,id_method,est_method,beta_zy
4,-0.4055888993169779,0.4179888993169779,-0.2015749398342344,0.21397493983423438,1.0,1.0,0.008200000000000013,m_u,IV,plugin,0.2
0,-0.6458405368872306,0.31971225759857475,-0.4487359422862959,0.15918683691627716,1.0,1.0,-0.03985239852398527,m_y=1,IV,plugin,0.2
1,-0.6011099777019454,0.30328548750277523,-0.393782594671163,0.14093371472010618,1.0,1.0,-0.040608654303376124,m_y=0,IV,plugin,0.2
2,-0.6188744579669342,0.644305999591268,-0.21452811790207527,0.23995965952640885,1.0,1.0,0.0017541543360488632,m_a=0,IV,plugin,0.2
3,-0.20838102314974366,0.1877737684471486,-0.2083810231497437,0.18777376844714863,1.0,1.0,-0.0008553468912844142,m_a=1,IV,plugin,0.2
4,-0.39795258216364726,0.4026525821636472,-0.1932118128718059,0.19791181287180587,1.0,1.0,0.00244999999999998,m_u,IV,plugin,0.2
0,-0.652089685973486,0.3206568766962635,-0.4518946702640879,0.15997828753431592,1.0,1.0,-0.04533024821203194,m_y=1,IV,plugin,0.2
1,-0.6139442170480605,0.30237954891887764,-0.407387622398128,0.14027940930085242,1.0,1.0,-0.041078917270301156,m_y=0,IV,plugin,0.2
2,-0.6271989732104772,0.6540535557732621,-0.22179244064964979,0.24864702321243465,1.0,1.0,-0.0009432407873516402,m_a=0,IV,plugin,0.2
3,-0.20734777492387857,0.19176762740426395,-0.20734777492387851,0.191767627404264,1.0,1.0,-0.003131751474954869,m_a=1,IV,plugin,0.2
4,-0.39847606615704356,0.4060760661570434,-0.19479982419848377,0.20239982419848374,1.0,1.0,0.0,m_u,IV,plugin,0.2
0,-0.5615027044292963,0.31816933987063767,-0.3779787384566915,0.17762258911132706,1.0,1.0,-0.03624260355029585,m_y=1,IV,plugin,0.2
1,-0.5296528663113558,0.2915349758542486,-0.3427363361169825,0.1487133160799226,1.0,1.0,-0.04347000759301447,m_y=0,IV,plugin,0.2
2,-0.6175344572449672,0.6077648175454642,-0.23731118079325064,0.22754154109374752,1.0,1.0,0.005440314485662401,m_a=0,IV,plugin,0.2
3,-0.18316867154265978,0.20893740596100246,-0.18316867154265976,0.20893740596100244,1.0,1.0,0.0020720566338163215,m_a=1,IV,plugin,0.2
4,-0.3794497312407928,0.3929497312407927,-0.19045975168046692,0.20395975168046693,1.0,1.0,0.005750000000000019,m_u,IV,plugin,0.2
0,-0.6537536321718889,0.3427917624505118,-0.44574519321091655,0.18325864483814652,1.0,1.0,-0.040673657451541174,m_y=1,IV,plugin,0.2
1,-0.6163802007314453,0.32440018857448916,-0.40159197457587903,0.16286090874840167,1.0,1.0,-0.030968841746377502,m_y=0,IV,plugin,0.2
2,-0.6587880119597115,0.667276900510425,-0.23535896657103125,0.2438478551217448,1.0,1.0,-0.004177693010092187,m_a=0,IV,plugin,0.2
3,-0.20816326192897855,0.2087479975848398,-0.20816326192897855,0.2087479975848398,1.0,1.0,-0.005415385405703743,m_a=1,IV,plugin,0.2
4,-0.4166769961264179,0.423676996126418,-0.20451787293441964,0.21151787293441965,1.0,1.0,-0.0028500000000000053,m_u,IV,plugin,0.2
0,-0.647519147293657,0.33127498366484776,-0.4461973591025078,0.17269380832084086,1.0,1.0,-0.04951016538502055,m_y=1,IV,plugin,0.2
1,-0.6025083165313043,0.3140041359431664,-0.3914881443929438,0.15341387494757452,1.0,1.0,-0.037498810316931565,m_y=0,IV,plugin,0.2
2,-0.6532345332634547,0.6548579525414585,-0.23981006698853596,0.2414334862665398,1.0,1.0,-0.004385546750927283,m_a=0,IV,plugin,0.2
3,-0.20451639140972486,0.2053986072558276,-0.20451639140972483,0.20539860725582768,1.0,1.0,-0.007382443756888957,m_a=1,IV,plugin,0.2
4,-0.40928148918672697,0.41408148918672694,-0.20118428408724665,0.20598428408724662,1.0,1.0,-0.0038000000000000117,m_u,IV,plugin,0.2
0,-0.6706320427090643,0.33127758556676123,-0.46593036207005223,0.1696297772508687,1.0,1.0,-0.047759309909530846,m_y=1,IV,plugin,0.2
1,-0.6294700854650396,0.3110378024046049,-0.41828209759456864,0.14776041501318887,1.0,1.0,-0.04821802935010482,m_y=0,IV,plugin,0.2
2,-0.6612885018443752,0.6728810949963424,-0.243867315907613,0.2554599090595803,1.0,1.0,0.0017206426326940027,m_a=0,IV,plugin,0.2
3,-0.2081252967622623,0.2071267717199839,-0.20812529676226235,0.2071267717199839,1.0,1.0,-0.0010229753259156649,m_a=1,IV,plugin,0.2
4,-0.41199129081203134,0.4206912908120314,-0.20238324229388627,0.21108324229388625,1.0,1.0,0.002599999999999991,m_u,IV,plugin,0.2
0,-0.6070347710533636,0.34274741923225255,-0.4042046971590194,0.19220845366181663,1.0,1.0,-0.025184867645482823,m_y=1,IV,plugin,0.2
1,-0.5745978568046592,0.3033252367828488,-0.37384284103292564,0.15022738582959505,1.0,1.0,-0.034773643265535635,m_y=0,IV,plugin,0.2
