g,s,metric,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,selection_rate,size
_Population,15,m_y=0,0.5221793500379527,0.6575937048340783,0.5246411014926007,0.6558228414462479,0.0,0.0,0.24617485947000117,0.1834862385321101,1.0
_Population,15,m_y=1,0.2682663512985333,0.4186342988108197,0.29419407701807954,0.3981470034561232,1.0,1.0,0.35328676028247324,0.1834862385321101,1.0
_Population,16,m_a=0,-0.28355352096865977,-0.047023011957308125,-0.22460396562972784,-0.1059725672962401,0.0,0.0,0.08188859458865952,0.18705402650356778,1.0
_Population,16,m_a=1,-0.28609867933784133,-0.1480576738219626,-0.2860986793378413,-0.14805767382196255,1.0,1.0,-0.18798775513761096,0.18705402650356778,1.0
_Population,16,m_u,-0.1636519461180521,0.06783135488461683,-0.11570970448956178,0.019889113256126495,0.0,0.0,0.10142711518858308,0.18705402650356778,1.0
_Population,16,m_y=0,0.5014169741994966,0.6410269634715914,0.5032739448936525,0.6396885972250517,0.0,0.0,0.26145971485411135,0.18705402650356778,1.0
_Population,16,m_y=1,0.2387135167100234,0.393489036340046,0.26688541246518405,0.3711320482166951,1.0,1.0,0.3313823532674409,0.18705402650356778,1.0
_Population,17,m_a=0,-0.328564691051638,0.060223299930751595,-0.21950172562202447,-0.048839665498862,0.0,0.0,0.07826905591975244,0.18399592252803262,1.0
_Population,17,m_a=1,-0.1890481036229621,-0.01670046839201128,-0.1890481036229621,-0.016700468392011246,0.0,0.0,-0.1909653718519041,0.18399592252803262,1.0
_Population,17,m_u,-0.22297504409810726,0.12511571688098178,-0.13398462911100611,0.03612530189388069,1.0,0.0,0.09480122324159024,0.18399592252803262,1.0
_Population,17,m_y=0,0.4122990611540578,0.5594441735200563,0.4144512037194858,0.5578215972916309,0.0,0.0,0.27082667306052854,0.18399592252803262,1.0
_Population,17,m_y=1,0.23209616913019163,0.39636075434391005,0.26148815014585836,0.3728038287215847,1.0,1.0,0.3337052494108963,0.18399592252803262,1.0
_Population,18,m_a=0,-0.2968466957150231,-0.043183355791288014,-0.23244996896657172,-0.10758008253973941,0.0,0.0,0.08048547981838403,0.18756371049949033,1.0
_Population,18,m_a=1,-0.265353452163717,-0.12388865316283482,-0.265353452163717,-0.12388865316283473,0.5,0.5,-0.16289124431992896,0.18756371049949033,1.0
_Population,18,m_u,-0.1726062975206803,0.07168886632801974,-0.1203007114116101,0.019383280218949528,0.0,0.0,0.11875637104994904,0.18756371049949033,1.0
_Population,18,m_y=0,0.49522226778577627,0.6363460150208582,0.49783085956617024,0.6344523752578975,0.0,0.0,0.2569774427877,0.18756371049949033,1.0
_Population,18,m_y=1,0.2418115995299622,0.39806160040801586,0.27022432913402494,0.3755185040142166,1.0,1.0,0.33466279165636076,0.18756371049949033,1.0
_Population,19,m_a=0,-0.30441814924617683,-0.07503185703875848,-0.2506099611605258,-0.1288400451244095,0.0,0.0,0.08854326123382888,0.18603465851172274,1.0
_Population,19,m_a=1,-0.24427043243495605,-0.10350091115927817,-0.24427043243495605,-0.10350091115927817,1.0,1.0,-0.171258594398004,0.18603465851172274,1.0
_Population,19,m_u,-0.16117264014146676,0.06841015288356661,-0.11737609031742988,0.024613603059529754,0.0,0.0,0.11773700305810396,0.18603465851172274,1.0
_Population,19,m_y=0,0.5311612213381269,0.6592970903407024,0.5333457389306112,0.6577173668414876,0.0,0.0,0.2665106432851345,0.18603465851172274,1.0
_Population,19,m_y=1,0.2802918775580854,0.4231211436231019,0.3038951929305023,0.40442893183467565,1.0,1.0,0.3500080231065468,0.18603465851172274,1.0
x_black_65+ y.o.,0,m_a=0,-0.4750111670614713,-0.07392560900929679,-0.4110981904582848,-0.13783858561248322,0.5,0.5,-0.08966861598440547,0.4053030303030303,0.03924566768603466
x_black_65+ y.o.,0,m_a=1,-0.1741863332161553,-0.040944415897889,-0.17418633321615534,-0.04094441589788898,1.0,1.0,-0.06876456876456871,0.4053030303030303,0.03924566768603466
x_black_65+ y.o.,0,m_u,-0.2425834025871419,0.038037948041687475,-0.20457406447081838,2.8609925363853872e-05,0.0,0.0,0.25757575757575757,0.4053030303030303,0.03924566768603466
x_black_65+ y.o.,0,m_y=0,0.678603665215505,0.7844960784156799,0.678603665215505,0.7844960784156799,0.0,0.0,1.0,0.4053030303030303,0.03924566768603466
x_black_65+ y.o.,0,m_y=1,0.23683839831451636,0.36251239078941355,0.25691086225247245,0.3464272787517416,1.0,1.0,0.3279569892473118,0.4053030303030303,0.03924566768603466
x_black_65+ y.o.,1,m_a=0,-0.5095661301886962,-0.11404587574205027,-0.44390942838020886,-0.1797025775505377,0.5,0.0,-0.043478260869565216,0.39108187134502925,0.03771661569826708
x_black_65+ y.o.,1,m_a=1,-0.16240393224080774,-0.021551579512431362,-0.16240393224080768,-0.02155157951243122,1.0,1.0,-0.040000000000000036,0.39108187134502925,0.03771661569826708
